,RandomWalk,Ann_1,Ann_2,Ann_mae_1,Ann_mae_2,Ann_3,Ann_4
monthly,0.01472300191331837,0.014735647177701424,0.013603550839654229,0.016779024389272132,0.017255754247549306,0.013883491389801593,0.014543865864867056
3_month,0.029652289318002813,0.03515610074711373,0.0327752414495003,0.03394937475276049,0.03871816646599907,0.031253623347223314,0.031309468615220604
6_month,0.04223730352762672,0.05077679309979209,0.04817053109027748,0.05861490059204401,0.06068670401661464,0.04710365337085566,0.04131500684418524
12_month,0.06667582308749942,0.08054050755683058,0.07746735468068894,0.0969874844604057,0.0937524524262113,0.08118483568121945,0.06775529741581196
