,RandomWalk,Ann_1,Ann_2,Ann_mae_1,Ann_mae_2
monthly,0.007606084027786966,0.00742569844638923,0.007396844558332446,0.008562388075177264,0.011255260689335238
3_month,0.018230082029914572,0.23327751661024784,0.23327117088440408,0.23364293775625755,0.23351920850357796
6_month,0.0295231217371082,0.3683731892796759,0.36838097681797066,0.3688121700477985,0.36863966271112847
12_month,0.04583878671706613,0.5449353452222577,0.5448613682162852,0.5465775778729136,0.5455723647823395
