,RandomWalk,Ann_1,Ann_2,Ann_mae_1,Ann_mae_2
monthly,0.02163031196972383,0.021797227264714572,0.021331050910793067,0.03129052712447503,0.04373906161680211
3_month,0.04414681135776847,0.7620073725061504,0.7620513168866032,0.7641844149103278,0.7639392026199513
6_month,0.06596475818881248,1.2043398234383795,1.2046050879555157,1.2090569835997678,1.2064023104888877
12_month,0.09391707607020798,1.7916723613373737,1.792248242141926,1.7956169659941017,1.7958850780263815
