,RandomWalk,Ann_1,Ann_2,Ann_mae_1,Ann_mae_2
monthly,0.005169447885318531,0.004992809840220004,0.004946971466043317,0.0062407546647653715,0.008233862215859866
3_month,0.013316209137298614,0.03908556571218002,0.039043514016275115,0.04334606255353294,0.04218926394951771
6_month,0.02293975186532136,0.08693077397565474,0.08672972564793348,0.0899472720882334,0.08988196833431344
12_month,0.0375482241933234,0.1775506337971991,0.17676979746650728,0.18989887366002905,0.18166185868602042
