,RandomWalk,Ann_1,Ann_2,Ann_mae_1,Ann_mae_2,Ann_3,Ann_4
monthly,0.0174775296252253,0.016644802352298028,0.01699289091413368,0.026207835478761182,0.04207157624562213,0.017258657452708503,0.016866826919568922
3_month,0.034894777377612374,0.04925724355360216,0.05245879568212083,0.06701219047680841,0.08052186830552503,0.04965641278747152,0.04691074517541382
6_month,0.04985863713136569,0.085544995304122,0.08622257093214014,0.10279724809510202,0.11768415102189325,0.08582282124796109,0.0829631013636024
12_month,0.0839893953510123,0.15753355265558788,0.15393433478349733,0.14859473637232573,0.1507611649944985,0.1616416771930033,0.15081355772925897
