,RandomWalk,Ann_1,Ann_2,Ann_mae_1,Ann_mae_2,Ann_3,Ann_4
monthly,0.018484765987933714,0.018223336020896857,0.017254909069871534,0.02061049329656161,0.022321073921164048,0.01698461547055434,0.01771958423119929
3_month,0.038929510931406605,0.04420347654914955,0.042375739944037864,0.04379698424231572,0.052779708220832305,0.04040579799853825,0.04015217209627454
6_month,0.05292971599441411,0.06325981269944592,0.06208823792168341,0.07262385728840447,0.07831556589856171,0.058720725023860054,0.05442070463458949
12_month,0.08154037855528797,0.10019478780212586,0.10040084650073428,0.11471843408688218,0.12306135091496524,0.10150259173630827,0.08547494234633891
