,RandomWalk,Ann_1,Ann_2,Ann_mae_1,Ann_mae_2,Ann_3,Ann_4
monthly,0.012004381506379547,0.011880665493096654,0.011849867939429659,0.013428032892649266,0.017873920406593902,0.011540185740446952,0.012004675360429706
3_month,0.023848433156183412,0.37851831339026043,0.3772157242327644,0.38221177255657873,0.3834169206315696,0.3774247542737827,0.3803729963153074
6_month,0.031978048393643634,0.9140929778713046,0.9115620467582388,0.9087677486809083,0.9147953313364953,0.9119132196942983,0.9130559339683593
12_month,0.039426399161931844,1.9705569711646453,1.9696678156489287,1.969721403202542,1.9683255210269845,1.9674950593774665,1.972325613002719
