,RandomWalk,Ann_1,Ann_2,Ann_mae_1,Ann_mae_2,Ann_3,Ann_4
monthly,0.02106003658165121,0.020158340098493474,0.020710528724881442,0.03030041967623668,0.04794117124022327,0.020958038342842104,0.020812152099637903
3_month,0.04220534215302269,0.07797049751420182,0.08084205501466585,0.08996497766604768,0.10020721943793857,0.07904733934130856,0.07750021671381316
6_month,0.06273742849361938,0.1274260293218845,0.12906664798680534,0.13436069459777447,0.14219130897120819,0.12576553375876914,0.12375445232020546
12_month,0.09689880852162883,0.19701204777182615,0.19870262890700333,0.18520704936034427,0.1872880892399131,0.20300537102114674,0.19029728451581515
