,RandomWalk,Ann_1,Ann_2,Ann_mae_1,Ann_mae_2,Ann_3,Ann_4
monthly,0.015984916805093157,0.015232640564565168,0.01448400637208654,0.016366192515569013,0.021478580324699174,0.014561294808209758,0.015176018532906246
3_month,0.031090792233025383,1.5854834132320814,1.5854465894011278,1.5855315535780534,1.5855377441101324,1.585438167380799,1.585505898574672
6_month,0.0388136614390081,2.499981997972158,2.4999233028162675,2.499922013114383,2.4999889009316383,2.4999334997133302,2.499933394233123
12_month,0.047707293132415195,3.6985635050460592,3.698547561998032,3.698590980500657,3.6985666061630047,3.6985253440300823,3.6986008811246935
