,RandomWalk,Ann_1,Ann_2,Ann_mae_1,Ann_mae_2
monthly,0.01652429017405414,0.017321491044626006,0.01664116651621249,0.024509297665202517,0.03147140407293099
3_month,0.0332469939558655,0.1593171239513284,0.16097779382184574,0.18332302718919435,0.18009000548245022
6_month,0.05026313854721762,0.3653595522839106,0.370544488452397,0.4157368629587168,0.38717253947982205
12_month,0.07185393745862097,0.7632520042243792,0.775829340971438,0.8129571414812039,0.8170634714119993
