DATE,EXCAUS
2005-01-01,1.2248
2005-02-01,1.2401
2005-03-01,1.2160
2005-04-01,1.2359
2005-05-01,1.2555
2005-06-01,1.2402
2005-07-01,1.2229
2005-08-01,1.2043
2005-09-01,1.1777
2005-10-01,1.1774
2005-11-01,1.1815
2005-12-01,1.1615
2006-01-01,1.1572
2006-02-01,1.1489
2006-03-01,1.1573
2006-04-01,1.1441
2006-05-01,1.1100
2006-06-01,1.1137
2006-07-01,1.1294
2006-08-01,1.1182
2006-09-01,1.1161
2006-10-01,1.1285
2006-11-01,1.1359
2006-12-01,1.1532
2007-01-01,1.1763
2007-02-01,1.1710
2007-03-01,1.1682
2007-04-01,1.1350
2007-05-01,1.0951
2007-06-01,1.0651
2007-07-01,1.0502
2007-08-01,1.0579
2007-09-01,1.0267
2007-10-01,0.9754
2007-11-01,0.9672
2007-12-01,1.0021
2008-01-01,1.0099
2008-02-01,0.9986
2008-03-01,1.0029
2008-04-01,1.0137
2008-05-01,0.9993
2008-06-01,1.0166
2008-07-01,1.0130
2008-08-01,1.0535
2008-09-01,1.0582
2008-10-01,1.1847
2008-11-01,1.2171
2008-12-01,1.2337
2009-01-01,1.2248
2009-02-01,1.2452
2009-03-01,1.2645
2009-04-01,1.2242
2009-05-01,1.1528
2009-06-01,1.1264
2009-07-01,1.1229
2009-08-01,1.0872
2009-09-01,1.0816
2009-10-01,1.0547
2009-11-01,1.0593
2009-12-01,1.0537
2010-01-01,1.0438
2010-02-01,1.0572
2010-03-01,1.0229
2010-04-01,1.0052
2010-05-01,1.0403
2010-06-01,1.0376
2010-07-01,1.0422
2010-08-01,1.0404
2010-09-01,1.0330
2010-10-01,1.0179
2010-11-01,1.0129
2010-12-01,1.0081
2011-01-01,0.9939
2011-02-01,0.9876
2011-03-01,0.9766
2011-04-01,0.9580
2011-05-01,0.9680
2011-06-01,0.9766
2011-07-01,0.9553
2011-08-01,0.9817
2011-09-01,1.0025
2011-10-01,1.0198
2011-11-01,1.0248
2011-12-01,1.0235
2012-01-01,1.0130
2012-02-01,0.9967
2012-03-01,0.9938
2012-04-01,0.9928
2012-05-01,1.0097
2012-06-01,1.0280
2012-07-01,1.0142
2012-08-01,0.9924
2012-09-01,0.9783
2012-10-01,0.9872
2012-11-01,0.9970
2012-12-01,0.9898
2013-01-01,0.9921
2013-02-01,1.0098
2013-03-01,1.0244
2013-04-01,1.0187
2013-05-01,1.0196
2013-06-01,1.0314
2013-07-01,1.0402
2013-08-01,1.0407
2013-09-01,1.0342
2013-10-01,1.0363
2013-11-01,1.0486
2013-12-01,1.0639
2014-01-01,1.0940
2014-02-01,1.1054
2014-03-01,1.1107
2014-04-01,1.0992
2014-05-01,1.0894
2014-06-01,1.0830
2014-07-01,1.0739
2014-08-01,1.0926
2014-09-01,1.1011
2014-10-01,1.1212
2014-11-01,1.1325
2014-12-01,1.1532
2015-01-01,1.2122
2015-02-01,1.2499
2015-03-01,1.2618
2015-04-01,1.2337
2015-05-01,1.2176
2015-06-01,1.2365
2015-07-01,1.2863
2015-08-01,1.3147
2015-09-01,1.3266
2015-10-01,1.3072
2015-11-01,1.3279
2015-12-01,1.3713
2016-01-01,1.4208
2016-02-01,1.3797
2016-03-01,1.3226
2016-04-01,1.2818
2016-05-01,1.2945
2016-06-01,1.2894
2016-07-01,1.3052
2016-08-01,1.2998
2016-09-01,1.3108
2016-10-01,1.3251
2016-11-01,1.3434
2016-12-01,1.3339
2017-01-01,1.3183
2017-02-01,1.3109
2017-03-01,1.3387
2017-04-01,1.3437
2017-05-01,1.3606
2017-06-01,1.3295
2017-07-01,1.269
2017-08-01,1.2608
2017-09-01,1.2279
2017-10-01,1.2607
2017-11-01,1.2773
2017-12-01,1.2769
2018-01-01,1.2429
2018-02-01,1.2588
2018-03-01,1.2933
2018-04-01,1.2732
2018-05-01,1.2866
2018-06-01,1.3125
2018-07-01,1.3133
2018-08-01,1.3042
2018-09-01,1.3034
2018-10-01,1.3004
2018-11-01,1.3205
2018-12-01,1.3436
2019-01-01,1.3300
2019-02-01,1.3209
2019-03-01,1.3371
2019-04-01,1.3378
2019-05-01,1.3452
