,RandomWalk,RandomWalkWithDrift,AR_1_1,AR_2_0,AR_Diff_1_0,AR_Diff_0_1,UnobservedComponentModel,UnobservedComponentModel_With_Season
monthly,0.01472300191331837,0.01487826811967772,0.014194026835949163,0.014027470303010253,0.013883969434920854,0.014027321602875372,0.014660848574595108,0.014079126687991876
3_month,0.029652289318002813,0.029485598973595296,0.0325573517469217,0.0347440924216265,0.03142263590248046,0.029756764704932333,0.03440318273133715,0.03103449564287346
6_month,0.04223730352762672,0.041973910183612885,0.049529058838012174,0.05356552554342827,0.04162722168773545,0.041583572296535344,0.048766139013697196,0.03950676801793999
12_month,0.06667582308749942,0.07016865755593137,0.07854171894139673,0.08658453252683425,0.07258682418837041,0.0720576676620223,0.08505749601706337,0.08000865531002513
