,RandomWalk,RandomWalkWithDrift,AR_1_1,AR_2_0,AR_Diff_1_0,AR_Diff_0_1,UnobservedComponentModel,UnobservedComponentModel_With_Season
monthly,0.018484765987933714,0.018585061226201564,0.017913193328056017,0.01779654814201968,0.01745254570372184,0.017484720269679083,0.01893070526286629,0.01868758784197369
3_month,0.038929510931406605,0.03945936508853146,0.04255475188923081,0.044725281560830644,0.04081014378464913,0.039729701293520686,0.044601077863920355,0.04013273303812325
6_month,0.05292971599441411,0.05455575954340656,0.061786193838242895,0.06669860617074884,0.05441887201783136,0.054432616571927994,0.06413490151288398,0.05178075578636517
12_month,0.08154037855528797,0.08783891957894331,0.09755803038275031,0.10671485806821407,0.08737608382002794,0.08748916428698338,0.10600412093298588,0.09665156455685756
