,RandomWalk,RandomWalkWithDrift,AR_1_1,AR_2_0,AR_8_0,AR_Diff_1_0,AR_Diff_0_1,UnobservedComponentModel,UnobservedComponentModel_With_Season
monthly,0.013241424447096766,0.013488989852691508,0.014219541134588138,0.013849478720541616,0.014634979687759498,0.012805153057198258,0.01319580028336729,0.01381061923772183,0.015563527405352112
3_month,0.02960358433439818,0.02991150620624734,0.03385722574073152,0.034844230884228285,0.03624628648632719,0.02927554762519119,0.02934139404800979,0.03419672904832078,0.0350163345295148
6_month,0.04943984286524207,0.050559522593495304,0.05856157058868994,0.06191413970707588,0.06601706551217314,0.04878170006043079,0.04908250690815682,0.05848875793605553,0.0569310993915077
12_month,0.07546964491985418,0.08184496425657815,0.09273684496411964,0.09903605107365367,0.11092846629678406,0.08162553319248027,0.08184578298483408,0.1133267977197922,0.10503739331040511
