,RandomWalk,RandomWalkWithDrift,AR_1_1,AR_2_0,AR_Diff_1_0,AR_Diff_0_1,UnobservedComponentModel,UnobservedComponentModel_With_Season
monthly,0.015984916805093157,0.015997315073603666,0.014026623170917607,0.014320286905408751,0.01531637913870069,0.014854012086154026,0.016398790471837045,0.01735778692572316
3_month,0.031090792233025383,0.031377754120751444,0.026247559667596624,0.026498894638064787,0.032721959928923225,0.032180595451807764,0.032884703271676585,0.035336132212991866
6_month,0.0388136614390081,0.03959817277314759,0.028949125626382074,0.02769551347001812,0.0406673776992392,0.03977890540003014,0.04365707314546687,0.0475962144977928
12_month,0.047707293132415195,0.049690860216417256,0.027313984923527237,0.025266269030300773,0.0496662014458145,0.048548492299196236,0.05588141748557842,0.055582807114220395
