,RandomWalk,RandomWalkWithDrift,AR_1_1,AR_2_0,AR_Diff_1_0,AR_Diff_0_1,UnobservedComponentModel,UnobservedComponentModel_With_Season
monthly,0.012004381506379547,0.012033382869384667,0.010688136667788095,0.011062844829655406,0.01174921746712132,0.011518863722678897,0.01215111635742474,0.013375957414411731
3_month,0.023848433156183412,0.024113807382263285,0.02013161850635575,0.020829025485798534,0.02442800099348271,0.023991643699059904,0.02511396729188168,0.028204306073992467
6_month,0.031978048393643634,0.03299884255009961,0.023800873280205286,0.02262752693344421,0.03338922146047467,0.03262718904460412,0.03453082610264663,0.03837366314558864
12_month,0.039426399161931844,0.04114101796446965,0.021342400467955283,0.01983046575133767,0.04045886307312458,0.039323469803735085,0.04486528034197175,0.04518087153367175
