,RandomWalk,RandomWalkWithDrift,AR_1_1,AR_2_0,AR_8_0,AR_Diff_1_0,AR_Diff_0_1,UnobservedComponentModel,UnobservedComponentModel_With_Season
monthly,0.017758748555011764,0.01783577184292096,0.018958289933914255,0.018617040010223,0.019337652615738738,0.01709329422646459,0.01758717896475205,0.018317759802816056,0.02032478490841966
3_month,0.03892526471515746,0.03968262708948661,0.044697986062888884,0.0459476151901862,0.047205121683067355,0.03850088614257211,0.03883797622355107,0.04472635786173081,0.04660633444081756
6_month,0.06294407134999591,0.06569103086890979,0.07285550947112288,0.07701887932702996,0.08502946491736926,0.06409302859092399,0.06435270240217204,0.07875323145940366,0.07762481848554398
12_month,0.09905809381907268,0.10722834586167841,0.11059147416452467,0.11680047136257922,0.1326604859336337,0.10839202352788634,0.10837660757234452,0.1457863844570624,0.13878832579581868
