,RandomWalk,RandomWalkWithDrift,AR_1_1,AR_2_0,AR_Diff_1_0,AR_Diff_0_1,UnobservedComponentModel,UnobservedComponentModel_With_Season
monthly,0.005169447885318531,0.006897596121118054,0.004725237100855316,0.004686537563755078,0.006388780986270968,0.0064431320476127695,0.0051457563218005415,0.00700740092484431
3_month,0.013316209137298614,0.018713287152721917,0.012315954428800084,0.012268327649888985,0.018244833084892803,0.018308465716012967,0.013557072736357227,0.016231231621822516
6_month,0.02293975186532136,0.03380603985090282,0.021302945397224445,0.021242389763329088,0.03343555853352284,0.033530678351661174,0.02391737939076202,0.026154409539838126
12_month,0.0375482241933234,0.060702657337547594,0.03341458797192458,0.03328104807149528,0.059856701761087906,0.05995873475688873,0.03950074819430343,0.040267109277944114
