,RandomWalk,RandomWalkWithDrift,AR_1_1,AR_2_0,AR_Diff_1_0,AR_Diff_0_1,UnobservedComponentModel,UnobservedComponentModel_With_Season
monthly,0.02163031196972383,0.021918434062066297,0.021244985509276983,0.02134445133559499,0.021468460593495386,0.021538260421376975,0.02314863528068851,0.025753475684383704
3_month,0.04414681135776847,0.04561103125557188,0.04322966949157065,0.04347207938905324,0.0446220336648596,0.04449852880305939,0.05546207503522893,0.06359348155014904
6_month,0.06596475818881248,0.06977871577470823,0.06497560352838568,0.06544679694219087,0.06850756051869716,0.06810955279066865,0.09691235639248001,0.10910707056107188
12_month,0.09391707607020798,0.10440767787180395,0.09144892207087481,0.09189229755931808,0.09986830961240373,0.09978529442168463,0.1665322721499296,0.16465193234269862
