,RandomWalk,RandomWalkWithDrift,AR_1_1,AR_2_0,AR_Diff_1_0,AR_Diff_0_1,UnobservedComponentModel,UnobservedComponentModel_With_Season
monthly,0.02106003658165121,0.021373669020952613,0.020067289670946998,0.02097419000054566,0.020786501246190504,0.0201115061988652,0.021402720604175873,0.021345443022957454
3_month,0.04220534215302269,0.04380602731565952,0.04369811308503193,0.04626406715360964,0.04423189077590242,0.04365966096078631,0.04526033521283423,0.04143041753155194
6_month,0.06273742849361938,0.06751233286736079,0.06312938216337767,0.06849128530884468,0.0663486676386404,0.06587625671712646,0.06985955147361986,0.06594988154714886
12_month,0.09689880852162883,0.11192037954513936,0.08716275366123066,0.09176863414325483,0.10693250002983933,0.10671233599073544,0.11908340092387174,0.11869252946454321
