,RandomWalk,ARMA_1_1+Exo_4,ARMA_1_1+Exo_2
monthly,0.014526321739905841,0.07476059199001099,0.0774977172307717
3_month,0.03163884442218576,0.10162690463421557,0.1016690017459506
6_month,0.05187627851628571,0.12169080441857091,0.11899509947220618
12_month,0.08584193947114283,0.1370762070434489,0.13256217387526756
