,RandomWalk,ARMA_1_1+Exo_4,ARMA_1_1+Exo_2
monthly,0.019400385854104387,0.08899996739536493,0.09119904572953881
3_month,0.0420209021433499,0.11646234894470003,0.11690311864099276
6_month,0.06946154692517398,0.13423147602765273,0.13212164428662995
12_month,0.11609410024962821,0.14725079945875258,0.14259831226473457
