,RandomWalk,LSTM_991,LSTM_982
monthly,0.0174775296252253,0.017478503595437622,0.01693704539384604
3_month,0.034894777377612374,0.0385139144252007,0.03756194519713432
6_month,0.04985863713136569,0.06085504325692172,0.05465451720607043
12_month,0.0839893953510123,0.10358101320708676,0.09490076788142056
