,RandomWalk,LSTM_991,LSTM_982
monthly,0.02163031196972383,0.02136966163948039,0.021260635089413824
3_month,0.04414681135776847,0.04436999541792945,0.044562884153090364
6_month,0.06596475818881248,0.0674935705377541,0.06874961783855528
12_month,0.09391707607020798,0.10013527076399416,0.09974349979880102
