,RandomWalk,LSTM_991,LSTM_982
monthly,0.02106003658165121,0.021228333069620325,0.020728880559926114
3_month,0.04220534215302269,0.04654559033910589,0.04627613740728256
6_month,0.06273742849361938,0.07423464062166946,0.06824040304136632
12_month,0.09689880852162883,0.1209221548016802,0.11019894152908088
