,RandomWalk,LSTM_955,LSTM_946,LSTM_937,LSTM_928
monthly,0.017758748555011764,0.017953504261012165,0.01803243897516913,0.017978053745711726,0.017978594787870863
3_month,0.03892526471515746,0.03999773065244679,0.03937650837712332,0.04040697761093832,0.040362636197086965
6_month,0.06294407134999591,0.06594183967592791,0.06666321091359508,0.06930057404708743,0.0691002319309668
12_month,0.09905809381907268,0.110047233004584,0.1100140076319057,0.11131943525570757,0.11305987088833297
