,RandomWalk,LSTM_991,LSTM_982,LSTM_973
monthly,0.017758748555011764,0.02031284037606944,0.02086099768373323,0.02085902549522043
3_month,0.03892526471515746,0.04521554283195948,0.048092274815890346,0.05029758344543321
6_month,0.06294407134999591,0.07067883549902984,0.07451169730843042,0.08208612749506371
12_month,0.09905809381907268,0.10363969392623197,0.10602717643191754,0.12204331609517365
