,RandomWalk,LSTM_991,LSTM_982
monthly,0.015984916805093157,0.01512153753655396,0.015126584979329515
3_month,0.031090792233025383,0.0339649722043633,0.03388906811267491
6_month,0.0388136614390081,0.04445840193835324,0.044731324622222915
12_month,0.047707293132415195,0.05611327548019998,0.057027893635565
