,RandomWalk,LSTM_991,LSTM_982,LSTM_973,LSTM_964
monthly,0.017758748555011764,0.01705494229736453,0.017385869169564912,0.017918842048569625,0.01824748121329446
3_month,0.03892526471515746,0.03848200986059204,0.038801971303886004,0.038378052284694326,0.039971601254321754
6_month,0.06294407134999591,0.06486235898825593,0.0632106892703627,0.06266974877057754,0.06624892200494815
12_month,0.09905809381907268,0.11365790854058305,0.107934055230702,0.10661423655849689,0.11352022777761538
