,RandomWalk,LSTM_991,LSTM_982
monthly,0.02106003658165121,0.02055421019641847,0.020261380158751605
3_month,0.04220534215302269,0.0437069777005549,0.043968787744433815
6_month,0.06273742849361938,0.06764669634075701,0.06816192513306125
12_month,0.09689880852162883,0.11178903269551792,0.11244025282113114
