,RandomWalk,LSTM_991,LSTM_982
monthly,0.018484765987933714,0.017917977506153863,0.017815559219344856
3_month,0.038929510931406605,0.04218670752483772,0.0408136254755983
6_month,0.05292971599441411,0.058276899536328634,0.05752432014008784
12_month,0.08154037855528797,0.09296545389599437,0.09169316471214514
