,RandomWalk,LSTM_991,LSTM_982
monthly,0.01652429017405414,0.01699227705674463,0.01690991925375043
3_month,0.0332469939558655,0.03421584692839865,0.033922326530320505
6_month,0.05026313854721762,0.05145926016796629,0.054164229130207735
12_month,0.07185393745862097,0.07829669927419544,0.07977021683871699
