,RandomWalk,LSTM_991,LSTM_982
monthly,0.01652429017405414,0.01708694723437438,0.0173268065597347
3_month,0.0332469939558655,0.03437760287468297,0.0360054212741366
6_month,0.05026313854721762,0.05400144272024729,0.056024744819237915
12_month,0.07185393745862097,0.08008455585189247,0.08307374983782094
