,RandomWalk,LSTM_991,LSTM_982,LSTM_mae_991,LSTM_mae_982
monthly,0.012004381506379547,0.011657263483624235,0.011657263483624235,0.011962941752000767,0.012077147986916437
3_month,0.023848433156183412,0.020687432999723053,0.020687934933573793,0.02030117582403051,0.020552584094015936
6_month,0.031978048393643634,0.02380068326987124,0.023800901252572133,0.02526299297097336,0.024964763358196786
12_month,0.039426399161931844,0.023985165533573216,0.02398437628586309,0.030980288677340876,0.03078037880942937
