,RandomWalk,LSTM_991,LSTM_982
monthly,0.01472300191331837,0.014373356667282402,0.014324900998558359
3_month,0.029652289318002813,0.0334130200615937,0.03163849541472578
6_month,0.04223730352762672,0.044506192910810184,0.04405538390406868
12_month,0.06667582308749942,0.0774346122318123,0.07559677711721077
