,RandomWalk,LSTM_991,LSTM_982,LSTM_mae_991,LSTM_mae_982
monthly,0.015984916805093157,0.015229235887812298,0.015229111773322177,0.015536751490796898,0.015662631397440268
3_month,0.031090792233025383,0.02686088565046849,0.026861399368520642,0.02735830193256844,0.02746567671465243
6_month,0.0388136614390081,0.027904437535015265,0.02790427098577016,0.030833902420831377,0.03029316535652704
12_month,0.047707293132415195,0.02866773185734338,0.028667778840138127,0.03480039640723267,0.035199816808213026
