,RandomWalk,LSTM_991,LSTM_982
monthly,0.012004381506379547,0.011688355554542262,0.011656831946219803
3_month,0.023848433156183412,0.02558675649626527,0.025594633087085504
6_month,0.031978048393643634,0.03707536383221459,0.0372942478803478
12_month,0.039426399161931844,0.04752301231198645,0.048456606337050775
