,RandomWalk,LSTM_991,LSTM_982
monthly,0.0174775296252253,0.016794427525329187,0.016741870737713122
3_month,0.034894777377612374,0.03695243044274627,0.03588123078321848
6_month,0.04985863713136569,0.05294251848336536,0.054094100098696446
12_month,0.0839893953510123,0.09601793592695333,0.09568185594881981
