,RandomWalk,LSTM_991,LSTM_982,LSTM_973
monthly,0.013241424447096766,0.014240340820998097,0.014959240257468191,0.014797917788962531
3_month,0.02960358433439818,0.03300677589390655,0.03477506669877366,0.03663506785423416
6_month,0.04943984286524207,0.05452134048390177,0.05847319925985596,0.06238758008269283
12_month,0.07546964491985418,0.08376627560523729,0.08457621828685404,0.09989958818237042
